Sec,Temp,goal_temp,initial_temp,error,integral_error,u,PWM,Kp,Ki
0.0,28.62,30.6,28.56,0.13,0.13,0.69,174.0,5.25,0.02
1.0,28.62,30.6,28.56,0.13,0.26,0.69,175.0,5.25,0.02
2.0,28.62,30.6,28.56,0.13,0.39,0.69,176.0,5.25,0.02
3.0,28.62,30.6,28.56,0.13,0.52,0.69,176.0,5.25,0.02
4.0,28.62,30.6,28.56,0.13,0.65,0.7,177.0,5.25,0.02
5.0,28.69,30.6,28.56,0.13,0.78,0.68,172.0,5.25,0.02
6.0,28.69,30.6,28.56,0.13,0.9,0.68,173.0,5.25,0.02
7.0,28.69,30.6,28.56,0.13,1.03,0.68,174.0,5.25,0.02
8.0,28.69,30.6,28.56,0.13,1.15,0.69,174.0,5.25,0.02
9.0,28.69,30.6,28.56,0.13,1.28,0.69,175.0,5.25,0.02
10.0,28.69,30.6,28.56,0.13,1.4,0.69,176.0,5.25,0.02
11.0,28.69,30.6,28.56,0.13,1.53,0.69,176.0,5.25,0.02
12.0,28.75,30.6,28.56,0.12,1.65,0.67,171.0,5.25,0.02
13.0,28.81,30.6,28.56,0.12,1.77,0.66,167.0,5.25,0.02
14.0,28.81,30.6,28.56,0.12,1.89,0.66,167.0,5.25,0.02
15.0,28.87,30.6,28.56,0.11,2.0,0.64,162.0,5.25,0.02
16.0,28.87,30.6,28.56,0.11,2.11,0.64,163.0,5.25,0.02
17.0,28.87,30.6,28.56,0.11,2.23,0.64,163.0,5.25,0.02
18.0,28.94,30.6,28.56,0.11,2.34,0.62,159.0,5.25,0.02
19.0,28.94,30.6,28.56,0.11,2.45,0.63,159.0,5.25,0.02
20.0,28.94,30.6,28.56,0.11,2.56,0.63,160.0,5.25,0.02
21.0,29.0,30.6,28.56,0.11,2.66,0.61,155.0,5.25,0.02
22.0,29.0,30.6,28.56,0.11,2.77,0.61,155.0,5.25,0.02
23.0,29.06,30.6,28.56,0.1,2.87,0.59,150.0,5.25,0.02
24.0,29.0,30.6,28.56,0.11,2.97,0.62,156.0,5.25,0.02
25.0,29.06,30.6,28.56,0.1,3.07,0.6,151.0,5.25,0.02
26.0,29.12,30.6,28.56,0.1,3.17,0.58,147.0,5.25,0.02
27.0,29.12,30.6,28.56,0.1,3.27,0.58,147.0,5.25,0.02
28.0,29.12,30.6,28.56,0.1,3.37,0.58,148.0,5.25,0.02
29.0,29.19,30.6,28.56,0.09,3.46,0.56,143.0,5.25,0.02
30.0,29.25,30.6,28.56,0.09,3.55,0.54,137.0,5.25,0.02
31.0,29.25,30.6,28.56,0.09,3.64,0.54,138.0,5.25,0.02
32.0,29.25,30.6,28.56,0.09,3.72,0.54,138.0,5.25,0.02
33.0,29.31,30.6,28.56,0.08,3.81,0.53,133.0,5.25,0.02
34.0,29.37,30.6,28.56,0.08,3.89,0.51,128.0,5.25,0.02
35.0,29.37,30.6,28.56,0.08,3.97,0.51,129.0,5.25,0.02
36.0,29.44,30.6,28.56,0.08,4.05,0.49,124.0,5.25,0.02
37.0,29.44,30.6,28.56,0.08,4.12,0.49,124.0,5.25,0.02
38.0,29.5,30.6,28.56,0.07,4.2,0.47,119.0,5.25,0.02
39.0,29.5,30.6,28.56,0.07,4.27,0.47,119.0,5.25,0.02
40.0,29.56,30.6,28.56,0.07,4.34,0.45,114.0,5.25,0.02
41.0,29.56,30.6,28.56,0.07,4.4,0.45,115.0,5.25,0.02
42.0,29.56,30.6,28.56,0.07,4.47,0.45,115.0,5.25,0.02
43.0,29.62,30.6,28.56,0.06,4.54,0.43,110.0,5.25,0.02
44.0,29.62,30.6,28.56,0.06,4.6,0.43,110.0,5.25,0.02
45.0,29.69,30.6,28.56,0.06,4.66,0.41,105.0,5.25,0.02
46.0,29.75,30.6,28.56,0.06,4.72,0.39,100.0,5.25,0.02
47.0,29.69,30.6,28.56,0.06,4.78,0.42,106.0,5.25,0.02
48.0,29.81,30.6,28.56,0.05,4.83,0.37,95.0,5.25,0.02
49.0,29.81,30.6,28.56,0.05,4.88,0.37,95.0,5.25,0.02
50.0,29.81,30.6,28.56,0.05,4.93,0.38,95.0,5.25,0.02
51.0,29.81,30.6,28.56,0.05,4.98,0.38,96.0,5.25,0.02
52.0,29.94,30.6,28.56,0.04,5.03,0.33,85.0,5.25,0.02
53.0,29.87,30.6,28.56,0.05,5.08,0.36,91.0,5.25,0.02
54.0,29.94,30.6,28.56,0.04,5.12,0.34,85.0,5.25,0.02
55.0,29.94,30.6,28.56,0.04,5.16,0.34,86.0,5.25,0.02
56.0,29.94,30.6,28.56,0.04,5.21,0.34,86.0,5.25,0.02
57.0,30.0,30.6,28.56,0.04,5.25,0.32,80.0,5.25,0.02
58.0,30.0,30.6,28.56,0.04,5.29,0.32,81.0,5.25,0.02
59.0,30.06,30.6,28.56,0.04,5.32,0.3,75.0,5.25,0.02
60.0,30.06,30.6,28.56,0.04,5.36,0.3,76.0,5.25,0.02
61.0,30.06,30.6,28.56,0.04,5.39,0.3,76.0,5.25,0.02
62.0,30.06,30.6,28.56,0.04,5.43,0.3,76.0,5.25,0.02
63.0,30.12,30.6,28.56,0.03,5.46,0.28,71.0,5.25,0.02
64.0,30.12,30.6,28.56,0.03,5.49,0.28,71.0,5.25,0.02
65.0,30.12,30.6,28.56,0.03,5.52,0.28,71.0,5.25,0.02
66.0,30.19,30.6,28.56,0.03,5.55,0.26,66.0,5.25,0.02
67.0,30.19,30.6,28.56,0.03,5.57,0.26,66.0,5.25,0.02
68.0,30.19,30.6,28.56,0.03,5.6,0.26,66.0,5.25,0.02
69.0,30.25,30.6,28.56,0.02,5.63,0.24,60.0,5.25,0.02
70.0,30.25,30.6,28.56,0.02,5.65,0.24,61.0,5.25,0.02
71.0,30.25,30.6,28.56,0.02,5.67,0.24,61.0,5.25,0.02
72.0,30.25,30.6,28.56,0.02,5.69,0.24,61.0,5.25,0.02
73.0,30.25,30.6,28.56,0.02,5.72,0.24,61.0,5.25,0.02
74.0,30.25,30.6,28.56,0.02,5.74,0.24,61.0,5.25,0.02
75.0,30.31,30.6,28.56,0.02,5.76,0.22,56.0,5.25,0.02
76.0,30.31,30.6,28.56,0.02,5.78,0.22,56.0,5.25,0.02
77.0,30.31,30.6,28.56,0.02,5.8,0.22,56.0,5.25,0.02
78.0,30.37,30.6,28.56,0.01,5.81,0.2,50.0,5.25,0.02
79.0,30.37,30.6,28.56,0.01,5.83,0.2,51.0,5.25,0.02
80.0,30.37,30.6,28.56,0.01,5.84,0.2,51.0,5.25,0.02
81.0,30.37,30.6,28.56,0.01,5.86,0.2,51.0,5.25,0.02
82.0,30.44,30.6,28.56,0.01,5.87,0.18,45.0,5.25,0.02
83.0,30.44,30.6,28.56,0.01,5.88,0.18,45.0,5.25,0.02
84.0,30.44,30.6,28.56,0.01,5.89,0.18,45.0,5.25,0.02
85.0,30.44,30.6,28.56,0.01,5.9,0.18,45.0,5.25,0.02
86.0,30.44,30.6,28.56,0.01,5.91,0.18,45.0,5.25,0.02
87.0,30.44,30.6,28.56,0.01,5.92,0.18,46.0,5.25,0.02
88.0,30.5,30.6,28.56,0.01,5.93,0.16,40.0,5.25,0.02
89.0,30.44,30.6,28.56,0.01,5.94,0.18,46.0,5.25,0.02
90.0,30.5,30.6,28.56,0.01,5.94,0.16,40.0,5.25,0.02
91.0,30.56,30.6,28.56,0.0,5.95,0.14,35.0,5.25,0.02
92.0,30.5,30.6,28.56,0.01,5.95,0.16,40.0,5.25,0.02
93.0,30.5,30.6,28.56,0.01,5.96,0.16,40.0,5.25,0.02
94.0,30.5,30.6,28.56,0.01,5.97,0.16,40.0,5.25,0.02
95.0,30.5,30.6,28.56,0.01,5.97,0.16,40.0,5.25,0.02
96.0,30.56,30.6,28.56,0.0,5.98,0.14,35.0,5.25,0.02
97.0,30.5,30.6,28.56,0.01,5.98,0.16,40.0,5.25,0.02
98.0,30.5,30.6,28.56,0.01,5.99,0.16,40.0,5.25,0.02
99.0,30.56,30.6,28.56,0.0,5.99,0.14,35.0,5.25,0.02
100.0,30.5,30.6,28.56,0.01,6.0,0.16,40.0,5.25,0.02
101.0,30.5,30.6,28.56,0.01,6.0,0.16,40.0,5.25,0.02
102.0,30.5,30.6,28.56,0.01,6.01,0.16,41.0,5.25,0.02
103.0,30.5,30.6,28.56,0.01,6.02,0.16,41.0,5.25,0.02
104.0,30.5,30.6,28.56,0.01,6.02,0.16,41.0,5.25,0.02
105.0,30.56,30.6,28.56,0.0,6.03,0.14,35.0,5.25,0.02
106.0,30.5,30.6,28.56,0.01,6.03,0.16,41.0,5.25,0.02
107.0,30.5,30.6,28.56,0.01,6.04,0.16,41.0,5.25,0.02
108.0,30.56,30.6,28.56,0.0,6.04,0.14,35.0,5.25,0.02
109.0,30.56,30.6,28.56,0.0,6.04,0.14,35.0,5.25,0.02
110.0,30.5,30.6,28.56,0.01,6.05,0.16,41.0,5.25,0.02
111.0,30.5,30.6,28.56,0.01,6.06,0.16,41.0,5.25,0.02
112.0,30.56,30.6,28.56,0.0,6.06,0.14,35.0,5.25,0.02
113.0,30.5,30.6,28.56,0.01,6.07,0.16,41.0,5.25,0.02
114.0,30.5,30.6,28.56,0.01,6.07,0.16,41.0,5.25,0.02
115.0,30.5,30.6,28.56,0.01,6.08,0.16,41.0,5.25,0.02
116.0,30.56,30.6,28.56,0.0,6.08,0.14,35.0,5.25,0.02
117.0,30.5,30.6,28.56,0.01,6.09,0.16,41.0,5.25,0.02
118.0,30.5,30.6,28.56,0.01,6.1,0.16,41.0,5.25,0.02
119.0,30.5,30.6,28.56,0.01,6.1,0.16,41.0,5.25,0.02
120.0,30.56,30.6,28.56,0.0,6.1,0.14,35.0,5.25,0.02
121.0,30.5,30.6,28.56,0.01,6.11,0.16,41.0,5.25,0.02
122.0,30.5,30.6,28.56,0.01,6.12,0.16,41.0,5.25,0.02
123.0,30.56,30.6,28.56,0.0,6.12,0.14,36.0,5.25,0.02
124.0,30.5,30.6,28.56,0.01,6.13,0.16,41.0,5.25,0.02
125.0,30.5,30.6,28.56,0.01,6.13,0.16,41.0,5.25,0.02
126.0,30.56,30.6,28.56,0.0,6.14,0.14,36.0,5.25,0.02
127.0,30.5,30.6,28.56,0.01,6.14,0.16,41.0,5.25,0.02
128.0,30.56,30.6,28.56,0.0,6.14,0.14,36.0,5.25,0.02
129.0,30.5,30.6,28.56,0.01,6.15,0.16,41.0,5.25,0.02
130.0,30.5,30.6,28.56,0.01,6.16,0.16,41.0,5.25,0.02
131.0,30.5,30.6,28.56,0.01,6.16,0.16,41.0,5.25,0.02
132.0,30.56,30.6,28.56,0.0,6.17,0.14,36.0,5.25,0.02
133.0,30.56,30.6,28.56,0.0,6.17,0.14,36.0,5.25,0.02
134.0,30.56,30.6,28.56,0.0,6.17,0.14,36.0,5.25,0.02
135.0,30.56,30.6,28.56,0.0,6.17,0.14,36.0,5.25,0.02
136.0,30.56,30.6,28.56,0.0,6.18,0.14,36.0,5.25,0.02
137.0,30.5,30.6,28.56,0.01,6.18,0.16,41.0,5.25,0.02
138.0,30.5,30.6,28.56,0.01,6.19,0.16,41.0,5.25,0.02
139.0,30.56,30.6,28.56,0.0,6.19,0.14,36.0,5.25,0.02
140.0,30.5,30.6,28.56,0.01,6.2,0.16,42.0,5.25,0.02
141.0,30.44,30.6,28.56,0.01,6.21,0.19,47.0,5.25,0.02
142.0,30.5,30.6,28.56,0.01,6.22,0.17,42.0,5.25,0.02
143.0,30.5,30.6,28.56,0.01,6.22,0.17,42.0,5.25,0.02
144.0,30.5,30.6,28.56,0.01,6.23,0.17,42.0,5.25,0.02
145.0,30.5,30.6,28.56,0.01,6.24,0.17,42.0,5.25,0.02
146.0,30.5,30.6,28.56,0.01,6.24,0.17,42.0,5.25,0.02
147.0,30.5,30.6,28.56,0.01,6.25,0.17,42.0,5.25,0.02
148.0,30.44,30.6,28.56,0.01,6.26,0.19,47.0,5.25,0.02
149.0,30.5,30.6,28.56,0.01,6.27,0.17,42.0,5.25,0.02
150.0,30.5,30.6,28.56,0.01,6.27,0.17,42.0,5.25,0.02
151.0,30.5,30.6,28.56,0.01,6.28,0.17,42.0,5.25,0.02
152.0,30.5,30.6,28.56,0.01,6.29,0.17,42.0,5.25,0.02
153.0,30.44,30.6,28.56,0.01,6.3,0.19,48.0,5.25,0.02
154.0,30.44,30.6,28.56,0.01,6.31,0.19,48.0,5.25,0.02
155.0,30.5,30.6,28.56,0.01,6.31,0.17,42.0,5.25,0.02
156.0,30.5,30.6,28.56,0.01,6.32,0.17,42.0,5.25,0.02
157.0,30.44,30.6,28.56,0.01,6.33,0.19,48.0,5.25,0.02
158.0,30.5,30.6,28.56,0.01,6.34,0.17,42.0,5.25,0.02
159.0,30.5,30.6,28.56,0.01,6.34,0.17,42.0,5.25,0.02
160.0,30.44,30.6,28.56,0.01,6.36,0.19,48.0,5.25,0.02
161.0,30.5,30.6,28.56,0.01,6.36,0.17,42.0,5.25,0.02
162.0,30.5,30.6,28.56,0.01,6.37,0.17,42.0,5.25,0.02
163.0,30.5,30.6,28.56,0.01,6.38,0.17,42.0,5.25,0.02
164.0,30.5,30.6,28.56,0.01,6.38,0.17,42.0,5.25,0.02
165.0,30.5,30.6,28.56,0.01,6.39,0.17,43.0,5.25,0.02
166.0,30.5,30.6,28.56,0.01,6.39,0.17,43.0,5.25,0.02
167.0,30.5,30.6,28.56,0.01,6.4,0.17,43.0,5.25,0.02
168.0,30.44,30.6,28.56,0.01,6.41,0.19,48.0,5.25,0.02
169.0,30.44,30.6,28.56,0.01,6.42,0.19,48.0,5.25,0.02
170.0,30.44,30.6,28.56,0.01,6.43,0.19,48.0,5.25,0.02
171.0,30.44,30.6,28.56,0.01,6.44,0.19,48.0,5.25,0.02
172.0,30.44,30.6,28.56,0.01,6.45,0.19,48.0,5.25,0.02
173.0,30.44,30.6,28.56,0.01,6.47,0.19,48.0,5.25,0.02
174.0,30.44,30.6,28.56,0.01,6.48,0.19,49.0,5.25,0.02
175.0,30.44,30.6,28.56,0.01,6.49,0.19,49.0,5.25,0.02
176.0,30.44,30.6,28.56,0.01,6.5,0.19,49.0,5.25,0.02
177.0,30.44,30.6,28.56,0.01,6.51,0.19,49.0,5.25,0.02
178.0,30.44,30.6,28.56,0.01,6.52,0.19,49.0,5.25,0.02
179.0,30.44,30.6,28.56,0.01,6.53,0.19,49.0,5.25,0.02
180.0,30.44,30.6,28.56,0.01,6.54,0.19,49.0,5.25,0.02
181.0,30.44,30.6,28.56,0.01,6.55,0.19,49.0,5.25,0.02
182.0,30.44,30.6,28.56,0.01,6.56,0.19,49.0,5.25,0.02
183.0,30.44,30.6,28.56,0.01,6.57,0.19,49.0,5.25,0.02
184.0,30.44,30.6,28.56,0.01,6.58,0.19,49.0,5.25,0.02
185.0,30.44,30.6,28.56,0.01,6.59,0.19,49.0,5.25,0.02
186.0,30.44,30.6,28.56,0.01,6.6,0.19,49.0,5.25,0.02
187.0,30.5,30.6,28.56,0.01,6.61,0.17,44.0,5.25,0.02
188.0,30.5,30.6,28.56,0.01,6.62,0.17,44.0,5.25,0.02
189.0,30.5,30.6,28.56,0.01,6.62,0.17,44.0,5.25,0.02
190.0,30.5,30.6,28.56,0.01,6.63,0.17,44.0,5.25,0.02
191.0,30.44,30.6,28.56,0.01,6.64,0.2,49.0,5.25,0.02
192.0,30.44,30.6,28.56,0.01,6.65,0.2,49.0,5.25,0.02
193.0,30.5,30.6,28.56,0.01,6.66,0.17,44.0,5.25,0.02
194.0,30.44,30.6,28.56,0.01,6.67,0.2,50.0,5.25,0.02
195.0,30.44,30.6,28.56,0.01,6.68,0.2,50.0,5.25,0.02
196.0,30.44,30.6,28.56,0.01,6.69,0.2,50.0,5.25,0.02
197.0,30.5,30.6,28.56,0.01,6.7,0.18,44.0,5.25,0.02
198.0,30.44,30.6,28.56,0.01,6.71,0.2,50.0,5.25,0.02
199.0,30.44,30.6,28.56,0.01,6.72,0.2,50.0,5.25,0.02
200.0,30.44,30.6,28.56,0.01,6.73,0.2,50.0,5.25,0.02
201.0,30.44,30.6,28.56,0.01,6.74,0.2,50.0,5.25,0.02
202.0,30.5,30.6,28.56,0.01,6.75,0.18,44.0,5.25,0.02
203.0,30.5,30.6,28.56,0.01,6.75,0.18,44.0,5.25,0.02
204.0,30.44,30.6,28.56,0.01,6.76,0.2,50.0,5.25,0.02
205.0,30.5,30.6,28.56,0.01,6.77,0.18,45.0,5.25,0.02
206.0,30.44,30.6,28.56,0.01,6.78,0.2,50.0,5.25,0.02
207.0,30.44,30.6,28.56,0.01,6.79,0.2,50.0,5.25,0.02
208.0,30.44,30.6,28.56,0.01,6.8,0.2,50.0,5.25,0.02
209.0,30.5,30.6,28.56,0.01,6.81,0.18,45.0,5.25,0.02
210.0,30.5,30.6,28.56,0.01,6.82,0.18,45.0,5.25,0.02
211.0,30.5,30.6,28.56,0.01,6.82,0.18,45.0,5.25,0.02
212.0,30.5,30.6,28.56,0.01,6.83,0.18,45.0,5.25,0.02
213.0,30.44,30.6,28.56,0.01,6.84,0.2,50.0,5.25,0.02
214.0,30.44,30.6,28.56,0.01,6.85,0.2,51.0,5.25,0.02
215.0,30.5,30.6,28.56,0.01,6.86,0.18,45.0,5.25,0.02
216.0,30.5,30.6,28.56,0.01,6.86,0.18,45.0,5.25,0.02
217.0,30.5,30.6,28.56,0.01,6.87,0.18,45.0,5.25,0.02
218.0,30.44,30.6,28.56,0.01,6.88,0.2,51.0,5.25,0.02
219.0,30.44,30.6,28.56,0.01,6.89,0.2,51.0,5.25,0.02
220.0,30.44,30.6,28.56,0.01,6.9,0.2,51.0,5.25,0.02
221.0,30.5,30.6,28.56,0.01,6.91,0.18,45.0,5.25,0.02
222.0,30.44,30.6,28.56,0.01,6.92,0.2,51.0,5.25,0.02
223.0,30.5,30.6,28.56,0.01,6.93,0.18,45.0,5.25,0.02
224.0,30.5,30.6,28.56,0.01,6.93,0.18,45.0,5.25,0.02
225.0,30.5,30.6,28.56,0.01,6.94,0.18,45.0,5.25,0.02
226.0,30.5,30.6,28.56,0.01,6.95,0.18,46.0,5.25,0.02
227.0,30.5,30.6,28.56,0.01,6.95,0.18,46.0,5.25,0.02
228.0,30.5,30.6,28.56,0.01,6.96,0.18,46.0,5.25,0.02
229.0,30.5,30.6,28.56,0.01,6.97,0.18,46.0,5.25,0.02
230.0,30.5,30.6,28.56,0.01,6.97,0.18,46.0,5.25,0.02
231.0,30.5,30.6,28.56,0.01,6.98,0.18,46.0,5.25,0.02
232.0,30.5,30.6,28.56,0.01,6.99,0.18,46.0,5.25,0.02
233.0,30.5,30.6,28.56,0.01,6.99,0.18,46.0,5.25,0.02
234.0,30.5,30.6,28.56,0.01,7.0,0.18,46.0,5.25,0.02
235.0,30.5,30.6,28.56,0.01,7.0,0.18,46.0,5.25,0.02
236.0,30.5,30.6,28.56,0.01,7.01,0.18,46.0,5.25,0.02
237.0,30.5,30.6,28.56,0.01,7.02,0.18,46.0,5.25,0.02
238.0,30.5,30.6,28.56,0.01,7.02,0.18,46.0,5.25,0.02
239.0,30.5,30.6,28.56,0.01,7.03,0.18,46.0,5.25,0.02
240.0,30.5,30.6,28.56,0.01,7.04,0.18,46.0,5.25,0.02
241.0,30.5,30.6,28.56,0.01,7.04,0.18,46.0,5.25,0.02
242.0,30.44,30.6,28.56,0.01,7.06,0.2,52.0,5.25,0.02
243.0,30.5,30.6,28.56,0.01,7.06,0.18,46.0,5.25,0.02
244.0,30.5,30.6,28.56,0.01,7.07,0.18,46.0,5.25,0.02
245.0,30.44,30.6,28.56,0.01,7.08,0.2,52.0,5.25,0.02
246.0,30.44,30.6,28.56,0.01,7.09,0.21,52.0,5.25,0.02
247.0,30.5,30.6,28.56,0.01,7.1,0.18,46.0,5.25,0.02
248.0,30.44,30.6,28.56,0.01,7.11,0.21,52.0,5.25,0.02
