Sec,Temp,goal_temp,initial_temp,error,integral_error,u,PWM,Kp,Ki
0.0,28.19,32.13,28.12,0.26,0.13,1.37,255.0,5.25,0.04
0.5,28.19,30.12,28.12,0.13,0.19,0.68,172.0,5.25,0.04
1.0,28.19,30.12,28.12,0.13,0.26,0.68,173.0,5.25,0.04
1.5,28.19,30.12,28.12,0.13,0.32,0.68,174.0,5.25,0.04
2.0,28.19,30.12,28.12,0.13,0.38,0.69,174.0,5.25,0.04
2.5,28.19,30.12,28.12,0.13,0.45,0.69,175.0,5.25,0.04
3.0,28.19,30.12,28.12,0.13,0.51,0.69,176.0,5.25,0.04
3.5,28.19,30.12,28.12,0.13,0.58,0.69,176.0,5.25,0.04
4.0,28.25,30.12,28.12,0.12,0.64,0.67,172.0,5.25,0.04
4.5,28.25,30.12,28.12,0.12,0.7,0.68,172.0,5.25,0.04
5.0,28.31,30.12,28.12,0.12,0.76,0.66,167.0,5.25,0.04
5.5,28.25,30.12,28.12,0.12,0.82,0.68,174.0,5.25,0.04
6.0,28.31,30.12,28.12,0.12,0.88,0.66,169.0,5.25,0.04
6.5,28.37,30.12,28.12,0.12,0.94,0.64,164.0,5.25,0.04
7.0,28.31,30.12,28.12,0.12,1.0,0.67,170.0,5.25,0.04
7.5,28.37,30.12,28.12,0.12,1.05,0.65,165.0,5.25,0.04
8.0,28.37,30.12,28.12,0.12,1.11,0.65,166.0,5.25,0.04
8.5,28.44,30.12,28.12,0.11,1.17,0.63,161.0,5.25,0.04
9.0,28.5,30.12,28.12,0.11,1.22,0.61,156.0,5.25,0.04
9.5,28.44,30.12,28.12,0.11,1.28,0.64,162.0,5.25,0.04
10.0,28.5,30.12,28.12,0.11,1.33,0.62,157.0,5.25,0.04
10.5,28.56,30.12,28.12,0.1,1.38,0.6,152.0,5.25,0.04
11.0,28.56,30.12,28.12,0.1,1.43,0.6,153.0,5.25,0.04
11.5,28.62,30.12,28.12,0.1,1.48,0.58,148.0,5.25,0.04
12.0,28.62,30.12,28.12,0.1,1.53,0.58,148.0,5.25,0.04
12.5,28.69,30.12,28.12,0.09,1.58,0.56,143.0,5.25,0.04
13.0,28.69,30.12,28.12,0.09,1.63,0.57,144.0,5.25,0.04
13.5,28.75,30.12,28.12,0.09,1.67,0.55,139.0,5.25,0.04
14.0,28.75,30.12,28.12,0.09,1.72,0.55,139.0,5.25,0.04
14.5,28.81,30.12,28.12,0.09,1.76,0.53,134.0,5.25,0.04
15.0,28.87,30.12,28.12,0.08,1.8,0.51,129.0,5.25,0.04
15.5,28.87,30.12,28.12,0.08,1.84,0.51,129.0,5.25,0.04
16.0,28.94,30.12,28.12,0.08,1.88,0.49,124.0,5.25,0.04
16.5,28.94,30.12,28.12,0.08,1.92,0.49,125.0,5.25,0.04
17.0,29.0,30.12,28.12,0.07,1.96,0.47,120.0,5.25,0.04
17.5,29.0,30.12,28.12,0.07,1.99,0.47,120.0,5.25,0.04
