Sec,Temp,goal_temp,initial_temp,error,integral_error,u,PWM,Kp,Ki
0.0,28.56,30.6,28.44,0.13,0.13,0.71,180.0,5.25,0.02
1.0,28.5,30.6,28.44,0.14,0.27,0.73,186.0,5.25,0.02
2.0,28.5,30.6,28.44,0.14,0.41,0.73,187.0,5.25,0.02
3.0,28.44,30.6,28.44,0.14,0.55,0.76,193.0,5.25,0.02
4.0,28.5,30.6,28.44,0.14,0.69,0.74,188.0,5.25,0.02
5.0,28.5,30.6,28.44,0.14,0.83,0.74,189.0,5.25,0.02
6.0,28.5,30.6,28.44,0.14,0.97,0.75,190.0,5.25,0.02
7.0,28.5,30.6,28.44,0.14,1.11,0.75,191.0,5.25,0.02
8.0,28.5,30.6,28.44,0.14,1.24,0.75,191.0,5.25,0.02
9.0,28.56,30.6,28.44,0.13,1.38,0.73,186.0,5.25,0.02
10.0,28.56,30.6,28.44,0.13,1.51,0.74,187.0,5.25,0.02
11.0,28.62,30.6,28.44,0.13,1.64,0.72,182.0,5.25,0.02
12.0,28.69,30.6,28.44,0.13,1.77,0.7,178.0,5.25,0.02
13.0,28.69,30.6,28.44,0.13,1.89,0.7,178.0,5.25,0.02
14.0,28.69,30.6,28.44,0.13,2.02,0.7,179.0,5.25,0.02
15.0,28.75,30.6,28.44,0.12,2.14,0.68,174.0,5.25,0.02
16.0,28.81,30.6,28.44,0.12,2.26,0.67,169.0,5.25,0.02
17.0,28.87,30.6,28.44,0.11,2.37,0.65,164.0,5.25,0.02
18.0,28.87,30.6,28.44,0.11,2.49,0.65,165.0,5.25,0.02
19.0,28.87,30.6,28.44,0.11,2.6,0.65,165.0,5.25,0.02
20.0,28.94,30.6,28.44,0.11,2.71,0.63,161.0,5.25,0.02
21.0,29.0,30.6,28.44,0.11,2.81,0.61,156.0,5.25,0.02
22.0,29.06,30.6,28.44,0.1,2.91,0.59,151.0,5.25,0.02
23.0,29.06,30.6,28.44,0.1,3.02,0.59,151.0,5.25,0.02
24.0,29.12,30.6,28.44,0.1,3.11,0.58,146.0,5.25,0.02
25.0,29.19,30.6,28.44,0.09,3.21,0.56,141.0,5.25,0.02
26.0,29.19,30.6,28.44,0.09,3.3,0.56,142.0,5.25,0.02
27.0,29.19,30.6,28.44,0.09,3.39,0.56,142.0,5.25,0.02
28.0,29.25,30.6,28.44,0.09,3.48,0.54,137.0,5.25,0.02
29.0,29.25,30.6,28.44,0.09,3.57,0.54,138.0,5.25,0.02
30.0,29.31,30.6,28.44,0.08,3.65,0.52,133.0,5.25,0.02
31.0,29.31,30.6,28.44,0.08,3.74,0.52,133.0,5.25,0.02
32.0,29.44,30.6,28.44,0.08,3.81,0.48,122.0,5.25,0.02
33.0,29.44,30.6,28.44,0.08,3.89,0.48,123.0,5.25,0.02
34.0,29.44,30.6,28.44,0.08,3.97,0.49,123.0,5.25,0.02
35.0,29.5,30.6,28.44,0.07,4.04,0.47,118.0,5.25,0.02
36.0,29.56,30.6,28.44,0.07,4.11,0.44,113.0,5.25,0.02
37.0,29.56,30.6,28.44,0.07,4.18,0.45,113.0,5.25,0.02
38.0,29.56,30.6,28.44,0.07,4.25,0.45,114.0,5.25,0.02
39.0,29.62,30.6,28.44,0.06,4.31,0.43,109.0,5.25,0.02
40.0,29.62,30.6,28.44,0.06,4.37,0.43,109.0,5.25,0.02
41.0,29.62,30.6,28.44,0.06,4.44,0.43,109.0,5.25,0.02
42.0,29.69,30.6,28.44,0.06,4.5,0.41,104.0,5.25,0.02
43.0,29.69,30.6,28.44,0.06,4.56,0.41,104.0,5.25,0.02
44.0,29.75,30.6,28.44,0.06,4.61,0.39,99.0,5.25,0.02
45.0,29.75,30.6,28.44,0.06,4.67,0.39,99.0,5.25,0.02
46.0,29.81,30.6,28.44,0.05,4.72,0.37,94.0,5.25,0.02
47.0,29.81,30.6,28.44,0.05,4.77,0.37,94.0,5.25,0.02
48.0,29.81,30.6,28.44,0.05,4.82,0.37,95.0,5.25,0.02
49.0,29.87,30.6,28.44,0.05,4.87,0.35,90.0,5.25,0.02
50.0,29.87,30.6,28.44,0.05,4.92,0.35,90.0,5.25,0.02
51.0,29.87,30.6,28.44,0.05,4.97,0.35,90.0,5.25,0.02
52.0,29.94,30.6,28.44,0.04,5.01,0.33,85.0,5.25,0.02
53.0,29.94,30.6,28.44,0.04,5.06,0.34,85.0,5.25,0.02
54.0,29.94,30.6,28.44,0.04,5.1,0.34,85.0,5.25,0.02
55.0,29.94,30.6,28.44,0.04,5.14,0.34,85.0,5.25,0.02
56.0,30.0,30.6,28.44,0.04,5.18,0.32,80.0,5.25,0.02
57.0,30.0,30.6,28.44,0.04,5.22,0.32,80.0,5.25,0.02
58.0,30.0,30.6,28.44,0.04,5.26,0.32,81.0,5.25,0.02
59.0,30.0,30.6,28.44,0.04,5.3,0.32,81.0,5.25,0.02
60.0,30.06,30.6,28.44,0.04,5.34,0.3,75.0,5.25,0.02
61.0,30.06,30.6,28.44,0.04,5.37,0.3,76.0,5.25,0.02
62.0,30.12,30.6,28.44,0.03,5.4,0.28,70.0,5.25,0.02
63.0,30.06,30.6,28.44,0.04,5.44,0.3,76.0,5.25,0.02
64.0,30.12,30.6,28.44,0.03,5.47,0.28,71.0,5.25,0.02
65.0,30.12,30.6,28.44,0.03,5.5,0.28,71.0,5.25,0.02
66.0,30.12,30.6,28.44,0.03,5.53,0.28,71.0,5.25,0.02
67.0,30.19,30.6,28.44,0.03,5.56,0.26,66.0,5.25,0.02
68.0,30.19,30.6,28.44,0.03,5.59,0.26,66.0,5.25,0.02
69.0,30.19,30.6,28.44,0.03,5.61,0.26,66.0,5.25,0.02
70.0,30.19,30.6,28.44,0.03,5.64,0.26,66.0,5.25,0.02
71.0,30.19,30.6,28.44,0.03,5.67,0.26,66.0,5.25,0.02
72.0,30.19,30.6,28.44,0.03,5.69,0.26,66.0,5.25,0.02
73.0,30.19,30.6,28.44,0.03,5.72,0.26,66.0,5.25,0.02
74.0,30.19,30.6,28.44,0.03,5.75,0.26,67.0,5.25,0.02
75.0,30.25,30.6,28.44,0.02,5.77,0.24,61.0,5.25,0.02
76.0,30.19,30.6,28.44,0.03,5.8,0.26,67.0,5.25,0.02
77.0,30.25,30.6,28.44,0.02,5.82,0.24,62.0,5.25,0.02
78.0,30.25,30.6,28.44,0.02,5.84,0.24,62.0,5.25,0.02
79.0,30.25,30.6,28.44,0.02,5.87,0.24,62.0,5.25,0.02
80.0,30.31,30.6,28.44,0.02,5.89,0.22,56.0,5.25,0.02
81.0,30.25,30.6,28.44,0.02,5.91,0.25,62.0,5.25,0.02
82.0,30.25,30.6,28.44,0.02,5.93,0.25,62.0,5.25,0.02
83.0,30.25,30.6,28.44,0.02,5.96,0.25,62.0,5.25,0.02
84.0,30.25,30.6,28.44,0.02,5.98,0.25,62.0,5.25,0.02
85.0,30.25,30.6,28.44,0.02,6.0,0.25,62.0,5.25,0.02
