Sec,Temp,goal_temp,initial_temp,error,integral_error,u,PWM,Kp,Ki
0.0,28.12,30.3,28.06,0.14,0.14,0.75,192.0,5.25,0.02
1.0,28.12,30.3,28.06,0.14,0.29,0.76,193.0,5.25,0.02
2.0,28.12,30.3,28.06,0.14,0.43,0.76,194.0,5.25,0.02
3.0,28.12,30.3,28.06,0.14,0.57,0.76,194.0,5.25,0.02
4.0,28.12,30.3,28.06,0.14,0.72,0.77,195.0,5.25,0.02
5.0,28.19,30.3,28.06,0.14,0.85,0.75,190.0,5.25,0.02
6.0,28.19,30.3,28.06,0.14,0.99,0.75,191.0,5.25,0.02
7.0,28.12,30.3,28.06,0.14,1.14,0.78,197.0,5.25,0.02
8.0,28.19,30.3,28.06,0.14,1.28,0.76,193.0,5.25,0.02
9.0,28.19,30.3,28.06,0.14,1.41,0.76,193.0,5.25,0.02
10.0,28.19,30.3,28.06,0.14,1.55,0.76,194.0,5.25,0.02
11.0,28.25,30.3,28.06,0.13,1.69,0.74,189.0,5.25,0.02
12.0,28.25,30.3,28.06,0.13,1.82,0.75,190.0,5.25,0.02
13.0,28.25,30.3,28.06,0.13,1.96,0.75,191.0,5.25,0.02
14.0,28.31,30.3,28.06,0.13,2.09,0.73,186.0,5.25,0.02
15.0,28.31,30.3,28.06,0.13,2.22,0.73,187.0,5.25,0.02
16.0,28.31,30.3,28.06,0.13,2.35,0.74,187.0,5.25,0.02
17.0,28.37,30.3,28.06,0.13,2.48,0.72,182.0,5.25,0.02
18.0,28.31,30.3,28.06,0.13,2.61,0.74,189.0,5.25,0.02
19.0,28.44,30.3,28.06,0.12,2.73,0.7,178.0,5.25,0.02
20.0,28.44,30.3,28.06,0.12,2.85,0.7,179.0,5.25,0.02
21.0,28.5,30.3,28.06,0.12,2.97,0.68,174.0,5.25,0.02
22.0,28.5,30.3,28.06,0.12,3.09,0.69,175.0,5.25,0.02
23.0,28.56,30.3,28.06,0.11,3.2,0.67,170.0,5.25,0.02
24.0,28.56,30.3,28.06,0.11,3.32,0.67,170.0,5.25,0.02
25.0,28.62,30.3,28.06,0.11,3.43,0.65,166.0,5.25,0.02
26.0,28.62,30.3,28.06,0.11,3.54,0.65,166.0,5.25,0.02
27.0,28.69,30.3,28.06,0.11,3.64,0.63,161.0,5.25,0.02
28.0,28.69,30.3,28.06,0.11,3.75,0.64,162.0,5.25,0.02
29.0,28.69,30.3,28.06,0.11,3.86,0.64,162.0,5.25,0.02
30.0,28.75,30.3,28.06,0.1,3.96,0.62,157.0,5.25,0.02
31.0,28.75,30.3,28.06,0.1,4.06,0.62,158.0,5.25,0.02
32.0,28.81,30.3,28.06,0.1,4.16,0.6,153.0,5.25,0.02
33.0,28.87,30.3,28.06,0.09,4.25,0.58,148.0,5.25,0.02
34.0,28.87,30.3,28.06,0.09,4.35,0.58,148.0,5.25,0.02
35.0,28.94,30.3,28.06,0.09,4.44,0.56,143.0,5.25,0.02
36.0,28.94,30.3,28.06,0.09,4.53,0.57,144.0,5.25,0.02
37.0,29.0,30.3,28.06,0.09,4.61,0.55,139.0,5.25,0.02
38.0,29.06,30.3,28.06,0.08,4.69,0.53,134.0,5.25,0.02
39.0,29.06,30.3,28.06,0.08,4.77,0.53,134.0,5.25,0.02
40.0,29.12,30.3,28.06,0.08,4.85,0.51,129.0,5.25,0.02
41.0,29.12,30.3,28.06,0.08,4.93,0.51,129.0,5.25,0.02
42.0,29.19,30.3,28.06,0.07,5.0,0.49,124.0,5.25,0.02
43.0,29.19,30.3,28.06,0.07,5.07,0.49,125.0,5.25,0.02
44.0,29.25,30.3,28.06,0.07,5.14,0.47,120.0,5.25,0.02
45.0,29.25,30.3,28.06,0.07,5.21,0.47,120.0,5.25,0.02
46.0,29.31,30.3,28.06,0.06,5.28,0.45,115.0,5.25,0.02
47.0,29.31,30.3,28.06,0.06,5.34,0.45,115.0,5.25,0.02
48.0,29.37,30.3,28.06,0.06,5.4,0.43,110.0,5.25,0.02
49.0,29.37,30.3,28.06,0.06,5.46,0.43,110.0,5.25,0.02
50.0,29.44,30.3,28.06,0.06,5.52,0.41,105.0,5.25,0.02
51.0,29.44,30.3,28.06,0.06,5.58,0.42,105.0,5.25,0.02
52.0,29.5,30.3,28.06,0.05,5.63,0.39,100.0,5.25,0.02
53.0,29.5,30.3,28.06,0.05,5.68,0.4,100.0,5.25,0.02
54.0,29.56,30.3,28.06,0.05,5.73,0.38,95.0,5.25,0.02
55.0,29.56,30.3,28.06,0.05,5.78,0.38,95.0,5.25,0.02
56.0,29.62,30.3,28.06,0.04,5.82,0.36,90.0,5.25,0.02
57.0,29.62,30.3,28.06,0.04,5.87,0.36,90.0,5.25,0.02
58.0,29.69,30.3,28.06,0.04,5.91,0.34,85.0,5.25,0.02
59.0,29.69,30.3,28.06,0.04,5.95,0.34,85.0,5.25,0.02
60.0,29.75,30.3,28.06,0.04,5.99,0.32,80.0,5.25,0.02
61.0,29.75,30.3,28.06,0.04,6.02,0.32,80.0,5.25,0.02
62.0,29.81,30.3,28.06,0.03,6.05,0.3,75.0,5.25,0.02
63.0,29.81,30.3,28.06,0.03,6.09,0.3,75.0,5.25,0.02
64.0,29.81,30.3,28.06,0.03,6.12,0.3,75.0,5.25,0.02
65.0,29.87,30.3,28.06,0.03,6.15,0.28,70.0,5.25,0.02
66.0,29.87,30.3,28.06,0.03,6.17,0.28,70.0,5.25,0.02
67.0,29.87,30.3,28.06,0.03,6.2,0.28,70.0,5.25,0.02
68.0,29.87,30.3,28.06,0.03,6.23,0.28,70.0,5.25,0.02
69.0,29.87,30.3,28.06,0.03,6.26,0.28,70.0,5.25,0.02
70.0,29.94,30.3,28.06,0.02,6.28,0.26,65.0,5.25,0.02
71.0,29.94,30.3,28.06,0.02,6.31,0.26,65.0,5.25,0.02
72.0,29.94,30.3,28.06,0.02,6.33,0.26,65.0,5.25,0.02
73.0,30.0,30.3,28.06,0.02,6.35,0.24,60.0,5.25,0.02
74.0,30.0,30.3,28.06,0.02,6.37,0.24,60.0,5.25,0.02
75.0,30.0,30.3,28.06,0.02,6.39,0.24,60.0,5.25,0.02
76.0,30.0,30.3,28.06,0.02,6.41,0.24,60.0,5.25,0.02
77.0,30.0,30.3,28.06,0.02,6.43,0.24,60.0,5.25,0.02
78.0,30.06,30.3,28.06,0.02,6.44,0.22,55.0,5.25,0.02
79.0,30.06,30.3,28.06,0.02,6.46,0.22,55.0,5.25,0.02
80.0,30.06,30.3,28.06,0.02,6.48,0.22,55.0,5.25,0.02
81.0,30.06,30.3,28.06,0.02,6.49,0.22,55.0,5.25,0.02
82.0,30.06,30.3,28.06,0.02,6.51,0.22,55.0,5.25,0.02
83.0,30.06,30.3,28.06,0.02,6.52,0.22,55.0,5.25,0.02
84.0,30.12,30.3,28.06,0.01,6.53,0.2,50.0,5.25,0.02
85.0,30.12,30.3,28.06,0.01,6.55,0.2,50.0,5.25,0.02
86.0,30.12,30.3,28.06,0.01,6.56,0.2,50.0,5.25,0.02
87.0,30.12,30.3,28.06,0.01,6.57,0.2,50.0,5.25,0.02
88.0,30.19,30.3,28.06,0.01,6.58,0.18,45.0,5.25,0.02
89.0,30.12,30.3,28.06,0.01,6.59,0.2,50.0,5.25,0.02
90.0,30.12,30.3,28.06,0.01,6.6,0.2,50.0,5.25,0.02
91.0,30.19,30.3,28.06,0.01,6.61,0.18,45.0,5.25,0.02
92.0,30.19,30.3,28.06,0.01,6.61,0.18,45.0,5.25,0.02
93.0,30.19,30.3,28.06,0.01,6.62,0.18,45.0,5.25,0.02
94.0,30.25,30.3,28.06,0.0,6.62,0.16,39.0,5.25,0.02
95.0,30.19,30.3,28.06,0.01,6.63,0.18,45.0,5.25,0.02
96.0,30.25,30.3,28.06,0.0,6.63,0.16,39.0,5.25,0.02
97.0,30.25,30.3,28.06,0.0,6.64,0.16,39.0,5.25,0.02
98.0,30.25,30.3,28.06,0.0,6.64,0.16,39.0,5.25,0.02
99.0,30.25,30.3,28.06,0.0,6.64,0.16,39.0,5.25,0.02
100.0,30.25,30.3,28.06,0.0,6.65,0.16,40.0,5.25,0.02
101.0,30.25,30.3,28.06,0.0,6.65,0.16,40.0,5.25,0.02
102.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
103.0,30.25,30.3,28.06,0.0,6.65,0.16,40.0,5.25,0.02
104.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
105.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
106.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
107.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
108.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
109.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
110.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
111.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
112.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
113.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
114.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
115.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
116.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
117.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
118.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
119.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
120.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
121.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
122.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
123.0,30.31,30.3,28.06,-0.0,6.65,0.14,34.0,5.25,0.02
124.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
125.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
126.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
127.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
128.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
129.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
130.0,30.25,30.3,28.06,0.0,6.66,0.16,40.0,5.25,0.02
131.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
132.0,30.31,30.3,28.06,-0.0,6.66,0.14,34.0,5.25,0.02
133.0,30.25,30.3,28.06,0.0,6.67,0.16,40.0,5.25,0.02
134.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
135.0,30.25,30.3,28.06,0.0,6.67,0.16,40.0,5.25,0.02
136.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
137.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
138.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
139.0,30.25,30.3,28.06,0.0,6.67,0.16,40.0,5.25,0.02
140.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
141.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
142.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
143.0,30.25,30.3,28.06,0.0,6.67,0.16,40.0,5.25,0.02
144.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
145.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
146.0,30.25,30.3,28.06,0.0,6.67,0.16,40.0,5.25,0.02
147.0,30.25,30.3,28.06,0.0,6.68,0.16,40.0,5.25,0.02
148.0,30.31,30.3,28.06,-0.0,6.67,0.14,34.0,5.25,0.02
149.0,30.25,30.3,28.06,0.0,6.68,0.16,40.0,5.25,0.02
150.0,30.25,30.3,28.06,0.0,6.68,0.16,40.0,5.25,0.02
151.0,30.25,30.3,28.06,0.0,6.68,0.16,40.0,5.25,0.02
152.0,30.25,30.3,28.06,0.0,6.69,0.16,40.0,5.25,0.02
153.0,30.31,30.3,28.06,-0.0,6.69,0.14,34.0,5.25,0.02
154.0,30.25,30.3,28.06,0.0,6.69,0.16,40.0,5.25,0.02
155.0,30.25,30.3,28.06,0.0,6.69,0.16,40.0,5.25,0.02
156.0,30.19,30.3,28.06,0.01,6.7,0.18,45.0,5.25,0.02
157.0,30.19,30.3,28.06,0.01,6.71,0.18,45.0,5.25,0.02
158.0,30.19,30.3,28.06,0.01,6.72,0.18,45.0,5.25,0.02
159.0,30.25,30.3,28.06,0.0,6.72,0.16,40.0,5.25,0.02
160.0,30.25,30.3,28.06,0.0,6.72,0.16,40.0,5.25,0.02
161.0,30.25,30.3,28.06,0.0,6.73,0.16,40.0,5.25,0.02
162.0,30.19,30.3,28.06,0.01,6.73,0.18,45.0,5.25,0.02
163.0,30.25,30.3,28.06,0.0,6.74,0.16,40.0,5.25,0.02
164.0,30.25,30.3,28.06,0.0,6.74,0.16,40.0,5.25,0.02
165.0,30.19,30.3,28.06,0.01,6.75,0.18,46.0,5.25,0.02
166.0,30.25,30.3,28.06,0.0,6.75,0.16,40.0,5.25,0.02
167.0,30.19,30.3,28.06,0.01,6.76,0.18,46.0,5.25,0.02
168.0,30.25,30.3,28.06,0.0,6.76,0.16,40.0,5.25,0.02
169.0,30.25,30.3,28.06,0.0,6.76,0.16,40.0,5.25,0.02
170.0,30.19,30.3,28.06,0.01,6.77,0.18,46.0,5.25,0.02
171.0,30.19,30.3,28.06,0.01,6.78,0.18,46.0,5.25,0.02
172.0,30.19,30.3,28.06,0.01,6.79,0.18,46.0,5.25,0.02
173.0,30.19,30.3,28.06,0.01,6.79,0.18,46.0,5.25,0.02
174.0,30.19,30.3,28.06,0.01,6.8,0.18,46.0,5.25,0.02
175.0,30.19,30.3,28.06,0.01,6.81,0.18,46.0,5.25,0.02
176.0,30.19,30.3,28.06,0.01,6.82,0.18,46.0,5.25,0.02
177.0,30.19,30.3,28.06,0.01,6.82,0.18,46.0,5.25,0.02
178.0,30.25,30.3,28.06,0.0,6.83,0.16,40.0,5.25,0.02
179.0,30.19,30.3,28.06,0.01,6.83,0.18,46.0,5.25,0.02
180.0,30.25,37.0,28.06,0.44,7.28,2.49,255.0,5.25,0.02
181.0,30.19,37.0,28.06,0.45,7.73,2.52,255.0,5.25,0.02
182.0,30.19,37.0,28.06,0.45,8.17,2.53,255.0,5.25,0.02
183.0,30.19,37.0,28.06,0.45,8.62,2.54,255.0,5.25,0.02
184.0,30.19,37.0,28.06,0.45,9.07,2.55,255.0,5.25,0.02
185.0,30.19,37.0,28.06,0.45,9.52,2.55,255.0,5.25,0.02
