seconds,temperature
0,26.37
1,26.37
2,26.44
3,26.37
4,26.5
5,26.5
6,26.56
7,26.56
8,26.56
9,26.62
10,26.69
11,26.75
12,26.81
13,26.87
14,26.94
15,27.0
16,27.12
17,27.19
18,27.25
19,27.25
20,27.37
21,27.44
22,27.5
23,27.62
24,27.69
25,27.81
26,27.87
27,27.94
28,28.06
29,28.19
30,28.25
31,28.37
32,28.5
33,28.5
34,28.56
35,28.62
36,28.75
37,28.81
38,28.94
39,29.0
40,29.06
41,29.12
42,29.31
43,29.31
44,29.37
45,29.44
46,29.5
47,29.56
48,29.69
49,29.81
50,29.87
51,30.0
52,30.06
53,30.12
54,30.25
55,30.31
56,30.44
57,30.44
58,30.56
59,30.62
60,30.69
61,30.75
62,30.81
63,30.87
64,30.87
65,31.06
66,31.12
67,31.19
68,31.25
69,31.31
70,31.37
71,31.44
72,31.44
73,31.5
74,31.62
75,31.75
76,31.75
77,31.87
78,31.94
79,32.0
80,32.06
81,32.13
82,32.19
83,32.25
84,32.31
85,32.31
86,32.38
87,32.44
88,32.56
89,32.56
90,32.63
91,32.69
92,32.81
93,32.81
94,32.88
95,32.94
96,32.94
97,33.0
98,33.19
99,33.13
100,33.19
101,33.25
102,33.31
103,33.31
104,33.38
105,33.5
106,33.56
107,33.63
108,33.69
109,33.69
110,33.75
111,33.81
112,33.81
113,33.81
114,33.94
115,34.0
116,34.0
117,34.06
118,34.19
119,34.13
120,34.19
121,34.25
122,34.31
123,34.25
124,34.38
125,34.5
126,34.5
127,34.5
128,34.5
129,34.56
130,34.63
131,34.63
132,34.69
133,34.69
134,34.75
135,34.81
136,34.81
137,34.88
138,34.94
139,34.94
140,35.0
141,35.06
142,35.06
143,35.19
144,35.19
145,35.25
146,35.25
147,35.31
148,35.31
149,35.38
150,35.38
151,35.44
152,35.5
153,35.56
154,35.56
155,35.56
156,35.63
157,35.63
158,35.69
159,35.75
160,35.75
161,35.81
162,35.81
163,35.88
164,35.94
165,36.06
166,36.0
167,36.0
168,36.06
169,36.06
170,36.13
171,36.13
172,36.19
173,36.19
174,36.25
175,36.31
176,36.31
177,36.38
178,36.44
179,36.44
180,36.44
181,36.5
182,36.63
183,36.63
184,36.56
185,36.63
186,36.69
187,36.75
188,36.69
189,36.75
190,36.75
191,36.75
192,36.75
193,36.88
194,36.88
195,36.94
196,37.0
197,37.0
198,37.0
199,37.0
200,37.06
201,37.06
202,37.06
203,37.13
204,37.13
205,37.19
206,37.19
207,37.25
208,37.25
209,37.31
210,37.31
211,37.31
